Data,Real (Aconteceu),Previsto (Modelo),Diferença (Unidades),Status
01/01/2025,159,51.81908501717146,107.18091498282854,Subestimou (Vendeu +)
01/02/2025,138,52.42923021469614,85.57076978530387,Subestimou (Vendeu +)
01/03/2025,138,72.11251876099618,65.88748123900382,Subestimou (Vendeu +)
01/04/2025,148,73.81385491954602,74.18614508045398,Subestimou (Vendeu +)
01/05/2025,120,72.58747560440776,47.41252439559224,Subestimou (Vendeu +)
01/06/2025,158,74.51891025164011,83.48108974835989,Subestimou (Vendeu +)
01/07/2025,129,67.61996808008062,61.380031919919375,Subestimou (Vendeu +)
01/08/2025,139,62.29912084978665,76.70087915021335,Subestimou (Vendeu +)
01/09/2025,126,119.05574732208862,6.944252677911379,Subestimou (Vendeu +)
01/10/2025,163,70.67926160936437,92.32073839063563,Subestimou (Vendeu +)
01/11/2025,118,119.71815288279208,-1.718152882792083,Superestimou (Vendeu -)
01/12/2025,186,126.26684616800756,59.73315383199244,Subestimou (Vendeu +)
