Order Date,Region,Category,Quantity,Marketing_Invest,Discount_Rate
2019-02-01,West,Technology,1,16397.37,0.05
2019-02-01,East,Office Supplies,1,16397.37,0.05
2019-02-01,Central,Office Supplies,2,16397.37,0.05
2019-02-01,Central,Office Supplies,1,16397.37,0.05
2019-02-01,West,Technology,3,16397.37,0.05
2019-02-01,South,Technology,3,16397.37,0.05
2019-02-01,South,Technology,6,16397.37,0.05
2019-02-01,East,Office Supplies,6,16397.37,0.05
2019-02-01,West,Office Supplies,1,16397.37,0.05
2019-02-01,Central,Office Supplies,2,16397.37,0.05
2019-02-02,Central,Furniture,1,16397.37,0.05
2019-02-02,West,Furniture,5,16397.37,0.05
2019-02-02,East,Furniture,2,16397.37,0.05
2019-02-02,West,Furniture,1,16397.37,0.05
2019-02-02,East,Furniture,3,16397.37,0.05
2019-02-03,West,Furniture,2,16397.37,0.05
2019-02-03,South,Technology,4,16397.37,0.05
2019-02-03,West,Office Supplies,3,16397.37,0.05
2019-02-03,East,Office Supplies,1,16397.37,0.05
2019-02-03,West,Technology,6,16397.37,0.05
2019-02-03,East,Furniture,6,16397.37,0.05
2019-02-03,Central,Office Supplies,1,16397.37,0.05
2019-02-03,South,Technology,1,16397.37,0.05
2019-02-03,Central,Furniture,3,16397.37,0.05
2019-02-03,Central,Office Supplies,1,16397.37,0.05
2019-02-03,West,Furniture,1,16397.37,0.05
2019-02-03,South,Furniture,2,16397.37,0.05
2019-02-03,Central,Furniture,5,16397.37,0.05
2019-02-04,West,Furniture,4,16397.37,0.05
2019-02-04,West,Office Supplies,2,16397.37,0.05
2019-02-04,East,Technology,4,16397.37,0.05
2019-02-04,East,Technology,6,16397.37,0.05
2019-02-04,Central,Office Supplies,3,16397.37,0.05
2019-02-04,East,Technology,2,16397.37,0.05
2019-02-04,West,Office Supplies,3,16397.37,0.05
2019-02-04,East,Technology,4,16397.37,0.05
2019-02-04,South,Office Supplies,2,16397.37,0.05
2019-02-04,West,Office Supplies,5,16397.37,0.05
2019-02-04,West,Furniture,1,16397.37,0.05
2019-02-04,Central,Office Supplies,1,16397.37,0.05
2019-02-05,West,Furniture,6,16397.37,0.05
2019-02-05,West,Furniture,4,16397.37,0.05
2019-02-05,West,Furniture,1,16397.37,0.05
2019-02-05,West,Office Supplies,2,16397.37,0.05
2019-02-05,West,Technology,4,16397.37,0.05
2019-02-05,West,Office Supplies,6,16397.37,0.05
2019-02-05,West,Technology,1,16397.37,0.05
2019-02-05,South,Office Supplies,3,16397.37,0.05
2019-02-05,East,Technology,2,16397.37,0.05
2019-02-05,South,Office Supplies,1,16397.37,0.05
2019-02-05,East,Technology,3,16397.37,0.05
2019-02-05,East,Furniture,4,16397.37,0.05
2019-02-05,West,Furniture,3,16397.37,0.05
2019-02-05,East,Technology,5,16397.37,0.05
2019-02-05,Central,Office Supplies,2,16397.37,0.05
2019-02-06,East,Technology,5,16397.37,0.05
2019-02-06,East,Office Supplies,2,16397.37,0.05
2019-02-06,West,Office Supplies,2,16397.37,0.05
2019-02-06,West,Technology,2,16397.37,0.05
2019-02-06,East,Technology,6,16397.37,0.05
2019-02-06,East,Furniture,6,16397.37,0.05
2019-02-07,South,Technology,1,16397.37,0.05
2019-02-07,East,Office Supplies,1,16397.37,0.05
2019-02-07,East,Office Supplies,5,16397.37,0.05
2019-02-07,Central,Office Supplies,3,16397.37,0.05
2019-02-07,South,Furniture,3,16397.37,0.05
2019-02-07,East,Technology,6,16397.37,0.05
2019-02-07,West,Technology,4,16397.37,0.05
2019-02-07,East,Office Supplies,2,16397.37,0.05
2019-02-07,South,Technology,1,16397.37,0.05
2019-02-07,South,Office Supplies,5,16397.37,0.05
2019-02-07,East,Furniture,1,16397.37,0.05
2019-02-08,Central,Furniture,5,16397.37,0.05
2019-02-08,West,Technology,5,16397.37,0.05
2019-02-08,Central,Office Supplies,4,16397.37,0.05
2019-02-08,Central,Technology,5,16397.37,0.05
2019-02-08,West,Office Supplies,2,16397.37,0.05
2019-02-08,West,Furniture,5,16397.37,0.05
2019-02-08,East,Technology,5,16397.37,0.05
2019-02-09,South,Office Supplies,2,16397.37,0.05
2019-02-09,East,Office Supplies,3,16397.37,0.05
2019-02-09,East,Office Supplies,5,16397.37,0.05
2019-02-09,South,Office Supplies,2,16397.37,0.05
2019-02-09,West,Office Supplies,4,16397.37,0.05
2019-02-09,Central,Furniture,2,16397.37,0.05
2019-02-09,Central,Office Supplies,3,16397.37,0.05
2019-02-09,West,Furniture,4,16397.37,0.05
2019-02-09,West,Technology,5,16397.37,0.05
2019-02-10,West,Technology,3,16397.37,0.05
2019-02-10,Central,Technology,4,16397.37,0.05
2019-02-10,Central,Technology,1,16397.37,0.05
2019-02-10,Central,Furniture,1,16397.37,0.05
2019-02-10,East,Technology,3,16397.37,0.05
2019-02-10,East,Furniture,5,16397.37,0.05
2019-02-10,East,Technology,5,16397.37,0.05
2019-02-10,West,Furniture,5,16397.37,0.05
2019-02-10,West,Office Supplies,2,16397.37,0.05
2019-02-10,East,Technology,6,16397.37,0.05
2019-02-11,West,Technology,5,16397.37,0.05
2019-02-11,West,Furniture,2,16397.37,0.05
2019-02-11,South,Furniture,5,16397.37,0.05
2019-02-11,East,Furniture,2,16397.37,0.05
2019-02-11,West,Furniture,6,16397.37,0.05
2019-02-11,West,Furniture,5,16397.37,0.05
2019-02-11,West,Furniture,5,16397.37,0.05
2019-02-12,Central,Furniture,2,16397.37,0.05
2019-02-12,West,Office Supplies,5,16397.37,0.05
2019-02-12,Central,Furniture,1,16397.37,0.05
2019-02-12,East,Furniture,1,16397.37,0.05
2019-02-12,Central,Technology,3,16397.37,0.05
2019-02-12,East,Technology,5,16397.37,0.05
2019-02-12,Central,Furniture,1,16397.37,0.05
2019-02-12,East,Furniture,6,16397.37,0.05
2019-02-12,West,Furniture,4,16397.37,0.05
2019-02-12,South,Office Supplies,4,16397.37,0.05
2019-02-12,East,Technology,5,16397.37,0.05
2019-02-12,East,Office Supplies,1,16397.37,0.05
2019-02-12,South,Technology,5,16397.37,0.05
2019-02-12,Central,Office Supplies,4,16397.37,0.05
2019-02-12,South,Technology,3,16397.37,0.05
2019-02-12,South,Furniture,1,16397.37,0.05
2019-02-13,West,Furniture,2,16397.37,0.05
2019-02-13,West,Office Supplies,1,16397.37,0.05
2019-02-13,Central,Office Supplies,2,16397.37,0.05
2019-02-13,West,Office Supplies,3,16397.37,0.05
2019-02-13,Central,Office Supplies,6,16397.37,0.05
2019-02-13,West,Office Supplies,2,16397.37,0.05
